Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR26260946_2	(35, 132830.0)	(40, 6150.0)	(45, 8029.0)	(50, 9688.0)	(55, 10324.0)	(60, 14923.0)	(65, 21115.0)	(70, 32611.0)	(75, 47555.0)	(80, 73173.0)	(85, 105184.0)	(90, 149347.0)	(95, 197095.0)	(100, 251678.0)	(105, 304810.0)	(110, 351639.0)	(115, 389508.0)	(120, 409458.0)	(125, 431312.0)	(130, 440408.0)	(135, 457597.0)	(140, 451820.0)	(145, 3597133.0)	(150, 6188365.0)
SRR26260947_1	(35, 176439.0)	(40, 5429.0)	(45, 6370.0)	(50, 7700.0)	(55, 9447.0)	(60, 15249.0)	(65, 23771.0)	(70, 38957.0)	(75, 59903.0)	(80, 93909.0)	(85, 137297.0)	(90, 198233.0)	(95, 266571.0)	(100, 343599.0)	(105, 416742.0)	(110, 483865.0)	(115, 539752.0)	(120, 570327.0)	(125, 601268.0)	(130, 615295.0)	(135, 642243.0)	(140, 634805.0)	(145, 4714879.0)	(150, 8234027.0)
SRR26260947_2	(35, 176176.0)	(40, 5388.0)	(45, 6283.0)	(50, 7819.0)	(55, 9348.0)	(60, 15292.0)	(65, 23967.0)	(70, 38827.0)	(75, 59464.0)	(80, 93135.0)	(85, 136576.0)	(90, 197570.0)	(95, 264934.0)	(100, 342119.0)	(105, 414735.0)	(110, 481167.0)	(115, 536548.0)	(120, 565671.0)	(125, 596040.0)	(130, 607755.0)	(135, 631661.0)	(140, 625109.0)	(145, 4828497.0)	(150, 8171996.0)
SRR26260948_1	(35, 308234.0)	(40, 16836.0)	(45, 19323.0)	(50, 21538.0)	(55, 25386.0)	(60, 39945.0)	(65, 60140.0)	(70, 91042.0)	(75, 132842.0)	(80, 191350.0)	(85, 264710.0)	(90, 354009.0)	(95, 454397.0)	(100, 559825.0)	(105, 664155.0)	(110, 762441.0)	(115, 841829.0)	(120, 891470.0)	(125, 934668.0)	(130, 948046.0)	(135, 979451.0)	(140, 952505.0)	(145, 5154058.0)	(150, 8994304.0)
SRR26260948_2	(35, 303459.0)	(40, 16175.0)	(45, 18412.0)	(50, 21410.0)	(55, 25113.0)	(60, 40086.0)	(65, 60361.0)	(70, 91122.0)	(75, 132539.0)	(80, 190764.0)	(85, 265245.0)	(90, 354945.0)	(95, 454895.0)	(100, 561607.0)	(105, 665521.0)	(110, 763957.0)	(115, 843708.0)	(120, 893228.0)	(125, 936226.0)	(130, 947233.0)	(135, 971936.0)	(140, 946019.0)	(145, 5199109.0)	(150, 8959434.0)
SRR26260949_1	(35, 129772.0)	(40, 6551.0)	(45, 7912.0)	(50, 9325.0)	(55, 11466.0)	(60, 18387.0)	(65, 27956.0)	(70, 43890.0)	(75, 65582.0)	(80, 99771.0)	(85, 143603.0)	(90, 201136.0)	(95, 268052.0)	(100, 334961.0)	(105, 400412.0)	(110, 447081.0)	(115, 487438.0)	(120, 496133.0)	(125, 504862.0)	(130, 498303.0)	(135, 501983.0)	(140, 477386.0)	(145, 3000300.0)	(150, 5238409.0)
SRR26260949_2	(35, 128122.0)	(40, 6204.0)	(45, 7486.0)	(50, 9236.0)	(55, 11264.0)	(60, 18249.0)	(65, 27853.0)	(70, 43593.0)	(75, 65039.0)	(80, 98735.0)	(85, 142784.0)	(90, 200086.0)	(95, 266198.0)	(100, 333739.0)	(105, 398630.0)	(110, 444833.0)	(115, 484867.0)	(120, 492733.0)	(125, 500788.0)	(130, 493104.0)	(135, 494598.0)	(140, 471227.0)	(145, 3061194.0)	(150, 5220109.0)
SRR26260950_1	(35, 84220.0)	(40, 4807.0)	(45, 6314.0)	(50, 8899.0)	(55, 12278.0)	(60, 22018.0)	(65, 35472.0)	(70, 57810.0)	(75, 89210.0)	(80, 137729.0)	(85, 199420.0)	(90, 278171.0)	(95, 363898.0)	(100, 452149.0)	(105, 534479.0)	(110, 606086.0)	(115, 662265.0)	(120, 688566.0)	(125, 717828.0)	(130, 732695.0)	(135, 758731.0)	(140, 742725.0)	(145, 5275642.0)	(150, 9403805.0)
SRR26260950_2	(35, 84244.0)	(40, 5041.0)	(45, 6435.0)	(50, 9100.0)	(55, 12095.0)	(60, 22069.0)	(65, 35498.0)	(70, 57251.0)	(75, 87675.0)	(80, 135276.0)	(85, 197181.0)	(90, 275124.0)	(95, 359635.0)	(100, 447938.0)	(105, 529574.0)	(110, 600613.0)	(115, 655562.0)	(120, 681080.0)	(125, 710389.0)	(130, 723492.0)	(135, 746063.0)	(140, 732243.0)	(145, 5467432.0)	(150, 9294207.0)
SRR26260951_1	(35, 81573.0)	(40, 4817.0)	(45, 5855.0)	(50, 6399.0)	(55, 7103.0)	(60, 10917.0)	(65, 17239.0)	(70, 27720.0)	(75, 43395.0)	(80, 68876.0)	(85, 105348.0)	(90, 155534.0)	(95, 219301.0)	(100, 290176.0)	(105, 369232.0)	(110, 442063.0)	(115, 506842.0)	(120, 547344.0)	(125, 584032.0)	(130, 605067.0)	(135, 629522.0)	(140, 619142.0)	(145, 3777811.0)	(150, 6432892.0)
SRR26260951_2	(35, 80889.0)	(40, 4784.0)	(45, 5587.0)	(50, 6576.0)	(55, 7036.0)	(60, 11003.0)	(65, 17428.0)	(70, 27758.0)	(75, 43112.0)	(80, 68247.0)	(85, 104985.0)	(90, 155211.0)	(95, 218279.0)	(100, 289485.0)	(105, 368190.0)	(110, 440726.0)	(115, 504334.0)	(120, 543376.0)	(125, 580459.0)	(130, 599050.0)	(135, 619513.0)	(140, 610726.0)	(145, 3879224.0)	(150, 6372222.0)
SRR26260989_1	(35, 2672.0)	(40, 2891.0)	(45, 6949.0)	(50, 17422.0)	(55, 34963.0)	(60, 66955.0)	(65, 107482.0)	(70, 184808.0)	(75, 282525.0)	(80, 421124.0)	(85, 617765.0)	(90, 810514.0)	(95, 1063968.0)	(100, 1344659.0)	(105, 1591368.0)	(110, 1745004.0)	(115, 1831594.0)	(120, 1910621.0)	(125, 1903603.0)	(130, 1891059.0)	(135, 1991709.0)	(140, 2127860.0)	(145, 34783544.0)	
