"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
42,65.046,53.017,42.339,68.636,53,62.14,63.088,41.017,188.127,186.962,132.916,203.722,102.055,214.683,130.441,244.299,124.307
158.179,108.497,89.646,384.518,359.992,241.927,245.031,116.346,211.272,1940.823,1218.395,463.611,1788.091,645.441,1539.597,1190.564,2230.498,1044.762
8,0,2,3.674,4,3.636,3,6.94,20,12.348,10,31.807,8,1.275,2.396,7,1.23,9.711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15.09,13.636,0,5.164,18.851,0,4.638,0,13.298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.079,11.322,0,10.547,2.777,26.893,14.266,11.021,46.909,23.262,18.223,45.333,34.149,23.681,38.695,47.645,19.696
17.082,0,0,1.725,0,0,0,0,0,8.548,2.859,9.422,0,10.863,5.668,2.185,2.172,0
6.873,17.418,33.113,14.082,17.093,15.04,9.164,2.047,11.967,12.961,9.419,14.923,18.662,3.182,14.568,21.888,13.316,15.76
0,0,4.508,45.842,0,5.426,4.268,8.683,0,93.074,78.778,43.194,49.09,0,48.804,44.334,16.78,0
69.162,0,0,78.35,0,127.26,64.343,0,0,0,0,0,50.148,79.603,96.994,62.904,52.78,0
775.968,1308.516,1459.38,388.213,484.984,750.26,622.099,508.794,511.482,1494.922,1355.763,1301.738,1427.682,1706.507,1482.593,1596.951,1127.488,1597.974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,7,0,5,19.005,0,0,0,0,0,0,0,0,0
241.519,236.852,162.176,182.262,221.075,269.244,384.933,279.364,230.699,274.348,171.482,226.006,369.651,174.937,237.792,72.198,468.858,118.336
814.355,607.33,518.185,765.721,671.389,729.043,834.693,635.536,666.183,394.135,394.024,472.9,408,433.138,318,351.007,310,319
