Symbol,n_studies,pooled_log2FC,pooled_lfcSE,rem_pvalue,I2,rem_padj,multi_study,is_robust,Confidence_Level
FBXO5,8,-0.164902003,0.050912615,0.001199823,0,0.126000612,TRUE,TRUE,NS
CABP5,4,-2.175128301,0.672862528,0.001226482,0,0.127243874,TRUE,TRUE,NS
CRY2,8,-0.262614637,0.081253635,0.001229118,0,0.127243874,TRUE,TRUE,NS
ADH4,4,-1.270086955,0.393029723,0.001231298,0,0.127243874,TRUE,TRUE,NS
TRIM10,7,-0.522666895,0.161812638,0.001237579,0,0.127243874,TRUE,TRUE,NS
GPRIN3,8,0.435030178,0.134844551,0.001254629,0,0.128325056,TRUE,TRUE,NS
ZNF669,8,0.225983369,0.070131059,0.001271655,0,0.129392582,TRUE,TRUE,NS
IGLL5,3,2.670149281,0.830105871,0.001297026,0,0.131293776,TRUE,TRUE,NS
PLAGL1,8,-0.319960677,0.099605613,0.00131688,0,0.132619945,TRUE,TRUE,NS
CPM,8,-0.531702354,0.165618026,0.001325441,37.73395667,0.13280111,TRUE,TRUE,NS
SELPLG,8,0.280801024,0.087673311,0.001360934,0,0.13566507,TRUE,TRUE,NS
JCHAIN,7,2.774120247,0.866556464,0.001368019,0,0.135682579,TRUE,TRUE,NS
GLO1,8,0.08168699,0.025559949,0.001393963,0,0.137561081,TRUE,TRUE,NS
RBPMS,8,0.186034362,0.058325153,0.00142466,32.01630927,0.139140059,TRUE,TRUE,NS
HMGA1,8,-0.104864318,0.032880555,0.001426423,3.527548465,0.139140059,TRUE,TRUE,NS
QARS,8,-0.128899034,0.040429022,0.00143122,47.4850945,0.139140059,TRUE,TRUE,NS
CFD,8,0.413134983,0.129858957,0.001465585,0,0.141779103,TRUE,TRUE,NS
LFNG,8,-0.244196553,0.076870399,0.001489453,28.64270599,0.143381749,TRUE,TRUE,NS
EDN2,5,2.623515876,0.827187647,0.001515969,0,0.145222443,TRUE,TRUE,NS
ADGRE3,2,-1.607350272,0.507494081,0.001538988,0,0.146711838,TRUE,FALSE,NS
RBFOX2,8,-0.13139777,0.041553456,0.001566152,0,0.148580177,TRUE,TRUE,NS
PRELID2,8,0.244403245,0.077514601,0.001616039,0,0.15197665,TRUE,TRUE,NS
MYL7,3,0.863099338,0.273931908,0.001628348,0,0.15197665,TRUE,TRUE,NS
FA2H,7,-0.332874406,0.105672008,0.001632304,0,0.15197665,TRUE,TRUE,NS
PDDC1,8,-0.152138591,0.048298527,0.001632909,12.73060199,0.15197665,TRUE,TRUE,NS
UBA7,5,0.658074065,0.209275917,0.001663548,0,0.154097871,TRUE,TRUE,NS
LAIR1,6,0.822868518,0.262661845,0.00173144,0,0.159633924,TRUE,TRUE,NS
SNX20,6,0.497184365,0.159267458,0.001798134,0,0.164385676,TRUE,TRUE,NS
UNCX,3,-0.562834285,0.180312683,0.001799721,0,0.164385676,TRUE,TRUE,NS
CYBB,5,0.352635128,0.113022618,0.001808263,0,0.164401219,TRUE,TRUE,NS
NPPB,3,1.090976617,0.350161926,0.001835496,0,0.166108114,TRUE,TRUE,NS
IGLC2,3,3.313046759,1.064628045,0.001858693,0,0.167435815,TRUE,TRUE,NS
HS2ST1,8,-0.164355279,0.052878901,0.001882658,0,0.168820303,TRUE,TRUE,NS
ATP5F1,8,0.355499722,0.114447607,0.001894941,0,0.169066851,TRUE,TRUE,NS
HSD3B1,4,-0.987390273,0.318081622,0.001907917,0,0.169066851,TRUE,TRUE,NS
BCCIP,8,0.098387708,0.031710144,0.001917507,0,0.169066851,TRUE,TRUE,NS
SNAI2,7,-0.242364613,0.078122664,0.001919845,0,0.169066851,TRUE,TRUE,NS
FLG,6,-0.21642891,0.069914932,0.001964128,0,0.172194405,TRUE,TRUE,NS
P2RX1,4,-0.406303204,0.131432359,0.001992497,0,0.173905178,TRUE,TRUE,NS
CD300E,2,0.554193424,0.179438325,0.002011767,0,0.17418534,TRUE,FALSE,NS
TLR1,8,0.5774028,0.186968143,0.002013447,27.26246207,0.17418534,TRUE,TRUE,NS
PHF14,8,0.289492649,0.093840625,0.002035936,56.99065619,0.175358365,TRUE,TRUE,NS
MARS2,8,-0.220428691,0.071645312,0.002093297,16.48053597,0.179511686,TRUE,TRUE,NS
PEX5,7,-0.416857572,0.135848154,0.002150965,0,0.183655015,TRUE,TRUE,NS
UCHL3,8,0.149358732,0.048711088,0.002167864,11.93739166,0.183728437,TRUE,TRUE,NS
GFM1,8,0.228775069,0.074620487,0.002170537,0,0.183728437,TRUE,TRUE,NS
WNT5A,8,-0.169673171,0.055414864,0.002199581,0,0.184986594,TRUE,TRUE,NS
CYB561D1,8,-0.182544911,0.059631079,0.00220424,26.16807067,0.184986594,TRUE,TRUE,NS
KLK5,3,0.211013847,0.069101334,0.002260478,0,0.188898979,TRUE,TRUE,NS
PTPRO,8,0.912371393,0.29913442,0.002288123,0,0.19039898,TRUE,TRUE,NS
PGBD2,8,-0.322187606,0.105724342,0.002308067,0,0.190451829,TRUE,TRUE,NS
CARS2,8,0.211059448,0.069258419,0.002308154,39.9090329,0.190451829,TRUE,TRUE,NS
GATA6,7,0.377019004,0.123875587,0.002338205,0,0.191770904,TRUE,TRUE,NS
SERINC2,8,-0.190474456,0.062624695,0.002353845,20.8477425,0.191770904,TRUE,TRUE,NS
CD1C,5,-1.666667297,0.548138036,0.00236109,0,0.191770904,TRUE,TRUE,NS
GDF7,8,-0.230634079,0.075885577,0.0023718,0,0.191770904,TRUE,TRUE,NS
DNAJA1,7,0.200459118,0.065965202,0.002374739,43.68777132,0.191770904,TRUE,TRUE,NS
PRPS1,8,-0.107271383,0.035311623,0.002382732,0,0.191770904,TRUE,TRUE,NS
DGKG,7,-0.450716147,0.148562382,0.002414536,0,0.193537358,TRUE,TRUE,NS
MOGAT3,4,0.852151714,0.281237452,0.002445473,0,0.195220327,TRUE,TRUE,NS
UGT1A8,2,-1.707471968,0.56512828,0.002516185,0,0.199480288,TRUE,FALSE,NS
FAM46C,6,-0.498404529,0.164999152,0.002522335,0,0.199480288,TRUE,TRUE,NS
PROM2,8,-0.17884237,0.059223,0.00252931,0,0.199480288,TRUE,TRUE,NS
EIF2B3,8,0.230374816,0.076444444,0.002581475,0,0.202780011,TRUE,TRUE,NS
RTCA,8,0.142801185,0.047437836,0.002610067,0,0.204209128,TRUE,TRUE,NS
C6orf222,2,1.180910263,0.393179372,0.002669024,0,0.20799325,TRUE,FALSE,NS
ZDHHC12,8,0.191619885,0.06397497,0.002742361,0,0.212629994,TRUE,TRUE,NS
ARHGEF11,7,0.259648373,0.08677291,0.002769071,3.493042253,0.212629994,TRUE,TRUE,NS
GPR84,6,1.463061774,0.489522337,0.002801177,0,0.212629994,TRUE,TRUE,NS
ZNF556,7,-0.283630282,0.094914548,0.002805617,0,0.212629994,TRUE,TRUE,NS
ERP27,8,-0.38517563,0.12890716,0.002808022,0,0.212629994,TRUE,TRUE,NS
ENTPD1,8,-0.159945597,0.053561357,0.002824562,7.287719724,0.212629994,TRUE,TRUE,NS
CCRL2,7,0.473159215,0.158532101,0.002839242,0,0.212629994,TRUE,TRUE,NS
SMARCC2,8,-0.105909996,0.035493114,0.002845449,0,0.212629994,TRUE,TRUE,NS
EFS,5,-0.457364782,0.15327631,0.002845779,0,0.212629994,TRUE,TRUE,NS
HEPACAM2,7,-0.80961418,0.271339942,0.002847269,0,0.212629994,TRUE,TRUE,NS
TAOK3,8,0.129509633,0.043405353,0.002847626,0,0.212629994,TRUE,TRUE,NS
SF3A2,8,-0.14410241,0.04838734,0.002900399,48.16955062,0.215750132,TRUE,TRUE,NS
ZBP1,6,2.123958777,0.714963095,0.002970976,0,0.219631007,TRUE,TRUE,NS
INPP5D,8,-0.12971123,0.043685273,0.002985558,0,0.219631007,TRUE,TRUE,NS
MCOLN1,8,0.201581383,0.067891656,0.002986123,0,0.219631007,TRUE,TRUE,NS
CHID1,8,-0.106132002,0.035770541,0.003006989,0,0.220340494,TRUE,TRUE,NS
BAIAP2L1,5,0.261864852,0.088348235,0.003036607,19.16192405,0.221683568,TRUE,TRUE,NS
PHACTR4,8,0.147522204,0.049925745,0.003128391,4.018886774,0.22753828,TRUE,TRUE,NS
SLC20A1,7,0.127806307,0.043306137,0.003165127,23.00289581,0.229360719,TRUE,TRUE,NS
HOXD13,6,-0.190862365,0.06471643,0.00318587,0,0.230015162,TRUE,TRUE,NS
SVIP,8,0.116212996,0.039437783,0.003211404,0,0.230231803,TRUE,TRUE,NS
TSPYL4,8,-0.128319058,0.043559337,0.003220737,0,0.230231803,TRUE,TRUE,NS
CCL8,3,3.487673112,1.184570288,0.003237366,9.859307816,0.230231803,TRUE,TRUE,NS
SLC17A9,6,-0.629994286,0.213996054,0.003240494,0,0.230231803,TRUE,TRUE,NS
RNASE2,4,2.104487997,0.715013256,0.00324749,0,0.230231803,TRUE,TRUE,NS
ADGRG7,5,-0.986909332,0.33596961,0.003308746,0,0.233730777,TRUE,TRUE,NS
IFI27,8,1.760069986,0.599906157,0.003347225,89.2339296,0.235358768,TRUE,TRUE,NS
HES2,7,0.134748394,0.045940323,0.003355762,0,0.235358768,TRUE,TRUE,NS
