"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
0,0,0,0,0,0,0.013276,0.024458,0.031957,0.337345,0.297859,0,0,0,0,0,0,0,0,0,0.059965,0,0.142507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063283,0,0,0,0.032285,0,0
22.082425,21.574485,19.736607,31.039777,33.466069,41.641768,50.880729,39.691687,51.796578,11.619506,7.241488,9.878667,8.121361,4.064981,24.509907,25.32288,27.70581,27.109246,31.092481,27.424143,54.607027,40.444083,49.748846,40.449142,46.727383,0,47.712275,15.123646,15.553625,0,5.556879,0,26.095279,32.663691,28.182286,27.158206,22.134841,21.763755,52.05338,45.593938,39.446853,37.275364,31.823744,32.356889,2.464434
1.56164,0.619759,0,1.828521,0.088514,1.000892,1.046883,0.624984,0.532922,48.238371,12.583196,59.221223,25.400865,42.673624,24.145542,18.813375,18.677228,18.199867,15.68573,11.677979,19.201359,5.759089,12.269448,12.011837,15.696435,8.389296,17.541151,14.39607,7.42978,13.385633,23.996051,16.285633,14.046693,8.197604,17.163698,23.766597,6.476135,22.115429,21.057593,19.766361,24.509924,25.448844,8.251758,10.2863,39.001895
8.669874,6.950673,14.092902,26.283603,31.518356,30.488179,26.487848,22.213486,24.840175,53.580616,57.19153,75.852789,66.562818,49.340689,59.737773,78.792135,63.941035,70.790821,72.209747,67.815523,55.771691,58.511379,55.917326,57.804018,61.877514,64.278588,72.427505,32.641546,62.869882,47.806897,32.455169,35.342265,45.576789,52.422692,48.147413,46.255465,49.648006,44.37617,38.381256,41.033106,48.591852,46.195969,50.863744,52.183086,34.186837
1.349879,0.275137,1.295793,0.157406,0.89671,0.751615,0.46948,0.759467,1.176139,20.838824,23.060017,17.498419,20.407037,14.730788,10.359369,16.502917,13.000069,17.038852,18.653312,11.29784,11.900061,11.317226,12.435045,17.425897,16.462023,20.490293,12.850964,10.146761,16.676944,14.184004,19.190388,10.684296,11.775904,10.771472,9.072585,11.759994,11.799887,10.615398,12.25408,11.815455,9.718134,10.985726,11.823179,11.546656,16.629627
49.247231,63.011919,65.008386,35.515559,39.138551,37.899035,34.237374,34.710915,32.582467,110.034938,97.448175,164.666938,188.975228,154.711063,141.213943,159.508962,151.413564,155.72459,152.731365,172.700232,178.406747,173.987082,149.70819,132.113738,126.123852,137.614546,147.215536,140.988613,115.873833,132.161911,151.140456,122.053609,122.920816,128.652394,136.47601,130.591987,131.696301,130.134531,138.827008,117.975431,130.551154,121.549543,118.791023,128.616911,74.177188
21.596393,22.551416,25.183163,22.529662,19.416403,32.995184,17.034628,22.716638,20.187038,8.27385,11.905235,12.216648,11.607968,5.932454,11.20173,8.287209,7.933977,9.632592,11.269083,9.803255,4.001981,6.186671,5.824559,6.041811,9.066731,14.086368,8.121311,2.459516,2.699926,7.473679,4.637028,8.776742,7.253039,4.419361,7.893058,7.662141,8.822529,7.793204,7.376454,5.857107,5.033009,7.138631,9.326156,7.727743,8.638111
0.040155,0.185095,0,0.018222,0.023444,0.016294,0,0,0.011664,1.220049,2.020062,0.613703,0.385972,0.706603,0,0.077008,0.624236,0.202478,0.680845,0,0.144924,0.177058,0.133258,0.166481,0,0.956513,0.17369,1.32553,1.30591,0.341127,1.041428,0.97462,0.031798,0.133389,0.045556,0.370907,0,0.0804,0.177671,0.944375,0.215738,0.130911,0.234147,0.16922,1.20984
0,0,0,0,0,0,0,0.060913,0.043095,1.925348,1.515036,0.502801,0.305625,0,0.250086,0,0,0,0,0,0.274829,0.385165,0.129991,0.107975,0,0.337805,0.169123,3.860257,1.907768,0,0.412468,4.290117,0,0,0,0,0,0,0.115465,0.084288,0.249896,0.056886,0.092491,0.0984,0
5.750646,6.577998,7.831834,7.479279,9.726036,11.544484,8.482535,9.884966,8.189106,104.315105,136.18268,191.293635,164.192041,117.199906,304.695076,362.691863,326.508193,363.626886,382.231289,317.460116,287.104847,279.631553,304.911697,313.543697,305.48381,106.198421,327.968247,58.576669,54.147924,154.089994,96.397646,111.349802,253.110147,287.985215,269.885545,252.067585,261.591191,301.197996,240.574165,211.464747,225.618477,241.264184,228.544421,270.371911,72.544114
0.069316,0.262915,0.569127,0,0.545613,0.380208,1.353533,0.673463,0.674619,0,7.297332,0,0,0,4.477222,0,14.2621,0,1.152531,0,5.199857,3.549094,0,1.904913,0,6.349719,5.321752,9.353695,5.94129,9.425985,0,0,0,0,0.878209,0,0,0,0,0.508431,2.666205,0.438768,1.538172,0,0
1.124161,3.237177,2.740783,9.683961,6.478866,7.530688,6.12467,7.559056,10.621971,5.781516,13.563061,3.749847,10.599984,13.138608,16.415179,28.748291,21.129727,23.753043,30.095813,29.917582,19.800284,13.261328,15.364848,26.569312,22.855593,7.252029,19.001465,12.569429,4.738546,4.975354,5.716829,30.777143,20.544431,24.858332,21.433356,22.280982,25.986447,24.876055,20.096953,18.441786,19.013579,27.776981,25.424465,26.46489,5.112805
0,0,0.339456,1.54286,1.500377,0.864003,1.727311,0.862993,0.816242,0.441764,3.152018,7.151689,0.131938,1.565495,2.503019,3.138022,4.405392,5.806121,6.133803,1.617374,5.574336,3.339317,3.865261,5.342385,3.793108,2.341287,5.585319,0,0,0,0.376922,5.267387,4.886918,6.092911,4.161336,5.109221,6.033554,4.727578,3.549282,3.316421,2.739592,4.757043,4.094544,5.494217,0
4.899355,4.576372,4.397468,2.281613,3.581647,3.024679,2.759869,3.766193,2.234384,3.200735,0,0,6.950961,0,1.044895,0,0,1.350654,0.233858,0,0,0,3.460183,0,0,2.092686,0.348597,0,0,0,0,0,0,0,0,0,0,0.481747,0,0,0,0.331566,1.09692,0.250678,0
0.061862,0.053487,0.067394,0.037298,0,0.041252,0,0.007911,0.032294,3.780602,5.07464,2.613507,3.110353,2.057142,0.357977,0.516577,0.53299,0.304925,0.55811,0.635459,0.595102,0.44438,0.468479,0.33492,0.420804,4.339315,0.484167,2.423506,3.620525,3.344754,2.945892,3.127364,0.58624,0.556168,0.459643,0.527044,0.812591,0.466213,0.490897,0.586906,0.675593,0.450026,0.576069,0.558647,2.367874
2.347323,4.619134,5.775825,3.370884,6.158564,4.533789,5.797396,5.582153,4.223344,3.254781,6.058815,1.788898,10.71706,1.05978,3.019975,5.145175,6.613298,4.847771,6.981284,7.848409,6.189398,6.288428,3.589133,5.6436,7.719408,9.83867,7.48799,0,6.11482,6.293446,2.780872,3.542097,3.376154,2.536677,4.695412,3.435931,5.434754,5.479846,1.148486,3.787948,4.314082,4.576017,6.435071,4.493927,0
0,0,0,0,0,0,0,0,0,0.14256,0,0,0,0,0,0,0,0.035373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022234,0,0,0,0,0,0,0,0,0,0,0,0
