"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
0,0,0,0.67659,0,0.126132,0.058103,0.529499,0,8.344525,6.351397,5.395374,4.977076,3.641538,3.150918,5.879864,1.559431,7.36979
38.778502,37.961623,36.773371,43.052037,45.423666,40.829642,44.833278,42.814282,44.769026,41.467681,42.996842,43.842047,37.952294,40.935371,37.118831,39.924176,30.481383,44.09883
7.870237,7.626094,7.081239,8.54791,7.856751,8.194364,8.00526,7.413694,7.635488,11.338011,10.703524,7.870324,13.299925,10.906935,18.190548,12.453362,28.226715,12.668482
26.069637,35.220918,35.762261,34.086245,31.623887,27.25423,30.063708,28.22497,30.504488,87.035954,82.144609,50.531611,61.559084,75.395818,73.113593,78.276825,71.534924,66.774343
3.375323,1.321423,1.556797,3.691154,2.581218,2.650902,4.002284,3.425081,4.366976,3.294486,3.211662,2.393961,4.519378,3.74521,3.195983,3.195201,4.798293,3.126388
0.122492,0.025385,0.036549,0.210601,0.114759,0.183988,0.151752,0.080445,0.466357,1.398711,1.788639,4.593913,3.582868,12.165871,3.366224,2.744722,2.779089,6.016784
0.031812,0,0,0.045641,0,0.050477,0,0.108377,0,0,0.069465,0.149473,0.246624,0.147504,0.150158,0.180584,0.12714,0
49.878699,60.157734,70.025383,76.210427,63.622477,50.050821,51.609889,45.609507,75.670783,96.054451,74.130797,73.918667,83.106786,82.00984,69.989897,74.008704,73.418847,66.026435
0,0,0,0,0,0,0,0,0,0,0,0.101509,0.019108,0,0,0,0,0
149.74652,164.944016,155.314074,141.50374,143.788357,168.878572,150.069069,124.373005,148.757267,44.073007,37.083443,44.118818,74.012316,59.622,58.831713,56.984102,64.270541,42.862331
6.114718,5.196606,5.944186,4.792992,6.708346,6.667867,6.355485,5.958578,6.258769,6.175487,5.400244,4.834763,4.771289,4.411146,3.439717,4.017368,3.871478,4.888137
0.697428,0.395673,0,0.462895,0.971557,0.861453,0.773741,0.13648,0,2.314828,2.025652,2.201283,2.732013,3.579229,0.45452,2.213754,1.871489,2.81861
0.357666,0.343166,0.373627,0.784174,0.670644,0.662978,0.46203,0.674505,0.688393,0.244136,0.414879,0.542117,0.307425,0.22502,0.381646,0.178526,0.091313,0.340279
2.38042,0,0,0,0.876366,0,0,1.402929,0.383185,3.569153,0,3.995452,2.809643,2.996471,3.799016,3.376162,1.778272,0
1.540881,0.55558,2.546288,2.575697,3.383691,2.748465,3.374049,2.661586,6.147061,9.5893,9.769984,3.287239,9.889401,5.147677,8.128933,8.002225,16.948965,6.923039
0,0,0,0.470615,0,0,0.160587,0,0,0.199598,0.616011,0.588188,0.176485,0,0,0,0,0
0,0,0,0,0,2.799377,1.21241,0,0,0,0,0,0,2.350294,0,0,0,0
0,0.199685,0,0,0,0,0,0,0,0,0,0,0,1.533094,0,0,0,0
0.737271,0.326048,0.667554,1.093691,0.982922,1.076214,1.055114,1.018313,1.137353,1.574621,0.468611,1.271809,1.315693,1.327013,0.714368,1.058296,0.660474,0.590625
0.611901,2.28301,0,3.375963,0.891769,2.672532,0,0.794873,0,1.209518,0,0,0,0.67314,0,0,0,0
2.864832,2.938113,2.832089,4.462917,3.668847,2.995907,4.900573,4.598923,4.450448,4.617213,6.326547,1.975483,4.857158,4.303127,6.100762,6.226895,8.834608,3.898941
0.337544,0.354635,0,0.371435,0.702494,0.37848,0.847868,0.686072,1.785222,0.153758,0,0.162363,0.427178,0.243901,0,1.360626,0.340844,0.371588
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.738149,2.805494,2.067202,4.124566,1.877133,2.417392,1.712015,1.539623,0.236501,7.953011,7.747644,6.114391,8.095902,5.223743,9.488311,7.344505,13.422328,8.332806
