"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
1.485566,1.233407,1.556531,0.607857,0.689367,0.680839,1.221661,1.272914,2.214286,1.025264,1.592302,0.487925,0.741621,0.782994,0.545852,0.990969,0.989863,0.976872,1.990152,1.099391,0.688139,0.566235,1.214032,1.093367,0.93209,0.762804,1.759839
31.689429,31.924006,26.265216,20.716688,24.183435,23.695115,22.576463,22.933329,17.666706,25.989939,27.368475,25.700086,21.413817,22.652796,23.474618,24.05511,20.619417,25.554526,25.01548,30.209174,25.753502,27.542339,23.547066,26.071565,27.271081,24.022278,26.044484
10.975645,10.851124,13.28858,11.69629,12.456402,12.606382,13.560454,12.685646,9.862475,11.237169,9.836956,10.595949,11.176792,11.28227,12.274904,13.60332,15.239643,13.205833,12.467778,10.52634,10.511925,13.363558,12.827933,12.431902,13.699918,13.493577,13.696965
21.420924,21.833662,20.855579,21.988582,18.868133,21.639607,13.565815,16.612402,15.224271,28.101751,27.524149,28.21904,20.587227,20.184391,20.328682,16.563185,15.767277,15.289197,18.627296,22.824144,23.816299,18.697157,23.59281,18.591093,17.767785,17.089326,16.481002
17.819822,17.684312,20.557791,14.431855,17.288281,14.886682,27.231272,24.98291,16.093397,23.868098,27.339597,30.651096,15.790519,13.396656,16.303713,30.178274,27.565034,27.026317,24.810767,21.212943,15.221465,15.897331,16.637992,13.306121,27.190506,31.133274,30.233631
24.525047,36.108203,17.629539,23.825924,13.497809,23.20122,20.275678,9.292613,12.400646,26.725068,22.615428,49.239946,24.878575,31.854437,36.989533,9.141763,31.47488,4.179246,33.774594,5.590189,10.422967,46.175647,11.864295,31.592863,4.965472,31.32858,11.909148
8.89901,6.82037,9.514108,8.613008,10.317005,10.865339,7.857804,10.515362,8.675347,9.109508,8.290579,11.21136,10.57159,7.762437,7.33325,8.907849,9.440153,8.386278,8.776692,10.248503,9.154857,9.256645,9.289778,9.114725,9.905212,11.149201,7.159654
68.432508,71.167721,71.447494,77.970812,77.695223,81.020425,106.052811,107.61006,82.181992,66.030385,70.057038,72.204429,72.979867,75.98625,75.17443,88.494905,86.694993,82.352044,78.056616,69.329375,67.92594,72.189302,84.323079,89.932587,90.576122,84.574801,85.414647
2.445418,1.4187,3.176956,1.771317,2.426791,2.013402,3.710086,7.765162,2.477815,3.233262,1.716781,4.311474,2.655548,0.99272,0,5.408271,3.553994,1.663246,5.948121,1.33461,3.378106,3.311446,3.325973,0.269831,4.036536,3.757665,3.265699
173.869148,122.731378,178.151271,149.584519,134.131571,142.337363,182.641669,178.097885,119.852349,114.94149,73.559933,103.804469,91.599808,127.465,116.577236,149.48888,171.357268,160.669043,123.773493,135.153766,150.672739,138.626916,129.669197,137.271584,168.487159,166.364461,146.991624
35.900239,37.824627,34.155971,43.057702,38.831059,39.212989,46.501332,41.201652,42.677777,32.756843,36.244889,28.418216,34.206849,38.391707,42.774269,43.23135,44.934686,36.21593,39.044053,43.13226,36.49529,41.661278,40.273037,43.622463,41.414676,41.190569,35.400978
9.576416,3.692979,5.169717,10.138862,11.603849,8.524015,6.536459,5.987079,3.095758,5.201712,1.016425,15.20836,8.364263,13.563019,6.019413,2.622309,10.106572,7.910962,15.533459,5.681757,7.587019,10.866991,7.516471,14.831257,6.185999,11.442296,12.258985
0,1.327886,0,4.003152,3.154124,4.785044,4.863908,3.329737,3.656085,1.943623,0,2.019695,0,3.894387,0.975293,5.370811,2.79217,8.923129,3.776457,0.422571,2.67236,3.166972,7.053934,0,2.571784,0,4.65934
2.284848,4.899954,3.110599,2.837836,4.236639,4.662404,3.006598,4.34192,3.823322,0,0.806133,4.475037,4.245158,0.781178,3.36465,5.479829,3.47934,5.098446,2.233421,4.015832,4.279778,2.028829,1.090099,3.319185,3.043838,6.19963,5.112703
10.694287,6.251567,8.411644,10.678609,9.364951,9.85426,6.393624,6.687051,3.865915,11.69536,12.553776,9.862647,10.388119,9.086568,9.40658,5.489129,7.236455,5.898003,9.336794,11.024961,11.088049,12.376613,9.710735,7.478334,6.135634,7.255815,6.158823
16.150306,11.279957,0,9.730558,8.631906,14.349191,8.088964,7.898334,9.678027,10.294261,5.151825,3.803275,0,0,6.181123,8.313376,6.484554,9.248213,5.705273,6.294318,4.647548,10.381213,1.161237,7.872943,10.479175,1.066628,3.314925
21.74908,20.632571,15.528734,30.239254,21.915952,16.752329,24.155168,24.90924,18.396853,16.099249,18.831112,17.542834,17.587653,18.363484,25.61189,26.050689,14.101135,18.881121,20.652978,21.819686,14.567916,23.501149,19.030134,16.894908,16.683042,19.825088,18.763829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.595105,8.723118,18.512747,6.952601,8.049668,13.893565,9.708195,7.707857,0.505231,8.160987,6.625668,15.968081,3.326302,5.69731,12.70502,3.895657,7.244843,9.081807,22.111975,15.567227,30.197178,5.454466,26.194388,9.729266,19.369053,20.749053,9.938803
13.23746,11.534818,14.167445,13.230021,13.411924,13.562217,12.450486,13.287289,7.720612,17.409475,14.162651,19.613313,11.806117,14.276299,8.0539,12.199674,12.279643,10.954898,11.66263,12.7712,16.832033,11.929769,10.684765,13.729593,12.742992,13.075335,12.972012
12.352255,8.279795,12.018149,16.116103,14.901176,13.45233,21.421464,18.331034,12.038458,15.877016,11.13604,15.584068,12.094377,12.447823,12.278659,16.328973,18.107787,17.133471,15.037509,15.122834,18.086744,13.961571,13.312117,14.303484,16.677573,17.455789,15.465948
73.087424,51.095566,82.196903,68.793916,62.297666,67.487792,64.468147,57.747593,29.413309,73.254423,37.134823,72.197081,40.882464,59.951076,60.297921,58.184714,61.302451,64.630245,51.591539,66.529379,84.92517,65.801539,59.756155,65.841937,60.500126,64.755652,56.083843
0.278425,0.147118,0.172302,0.160675,0.114312,0,0.34044,0.467087,0.4051,0.312998,0,0.275731,0.128975,0.294674,0.201763,0.296951,0.570417,0.602362,0.109827,0.302589,0.378774,0.095024,0.26629,0.51301,0.368389,0.640717,0.523142
33.273854,28.005329,32.569354,32.869976,34.161624,31.478972,33.458655,28.801517,25.255234,35.57317,27.936932,34.2425,27.647928,35.803802,33.382902,28.450847,29.809667,27.264827,34.59308,33.449561,35.057514,37.119706,37.217497,33.889031,24.797495,30.690679,25.469304
0.50605,0.458611,1.016099,0.44532,0,0.321452,1.094985,0,0,0.743865,0,0.887885,0.864495,0,0.726293,0,0,0,0,0.487331,0,1.141106,0,0.283189,0.858749,0.245523,0
