"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
4.429657,3.490674,1.46375,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
22.59921,30.441576,31.435715,14.959153,23.082662,19.848828,18.974591,19.747254,18.05335
0,0.318263,0,0,0,0,0,0,0
5.698369,17.797958,17.094147,0.162841,0,1.384056,0,0,0
0,0.892528,2.665417,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.514228,0.765815,0.249016,0.034265,0,0,0,0,0
0,0.360978,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.735606,0,2.005857,2.427356,1.764597,2.955439,1.709683,2.382835
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.044217,0
0.331236,0.217713,4.165129,0.18784,9.267442,0.234901,2.001612,3.420252,4.081493
8.05603,5.926923,1.246963,2.599841,1.110774,4.701846,6.72377,4.218441,4.383604
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1.335023,0.326439,0.17213,0.122487,0.120454,0.282037,0.997572
412.140345,549.316855,611.18355,3301.80298,4881.32664,4502.874161,3800.442068,3763.830685,3510.788257
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
34.962399,17.528659,38.841096,86.163116,49.248658,59.86252,50.446517,32.952331,40.425388
1.512905,0,0,0,0,0,0,0,0
1.320599,0,0,0,1.350771,1.684046,2.315477,0,1.656922
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.973598,0.486954,0.306489,0.063071,0.080501,0,0.055445,0,0
0.228392,0.200017,0,0.621535,0.066239,0,0,1.153432,0.264528
0,0,0,0,0,0,0,0,0
0,0,0,0.526023,0,0,0.062928,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
47.246779,39.236565,55.560468,105.950494,114.242747,131.063445,118.575812,103.421844,112.299146
27.523071,19.937179,25.336822,75.208683,50.399674,51.68072,49.565694,47.882769,57.164715
0.768887,0,0,0,0,0,0.973136,0,0
0,0,0,0,0,0.247372,0,1.838073,0
0,1.158566,0,0,0,0,0,0,0
0,0.328178,0.322429,0.243261,0,0.049819,0,0,0
0.956828,0,0,0,0,0,0,0.35317,0.070508
0,0,0,0,0,0,0,0,0
0.786577,1.491844,2.146476,1.807708,1.596862,2.734089,2.463249,1.621084,1.716003
0,0,0,0,0,0,0,0,0
9.35252,14.353449,17.72401,5.222331,5.765744,5.59878,4.107066,4.335675,3.380455
0,0,0,0,0,0,0,0,0
0.404882,0.826974,0,0,0,0,0,0,0
2.075033,1.288506,2.23142,1.527528,0.453231,1.372227,0.157824,0.317632,1.245604
0,0,0,0,0,0,0,0,0
0.689761,0.100737,0,0,0.12344,0,0,0,0
0.059652,0,0,0,0,0,0,0,0
0,5.85579,0,0,0.056568,0.644417,0,0,0
2.692303,1.529532,2.08732,0.83046,0.401294,0.415433,0.255088,0.301227,0.316687
0.145278,0,0,0,0,0,0,0.063123,0
4.235117,3.505813,6.786469,7.339208,0.813762,13.29214,16.926924,15.147504,10.421989
0.444917,0,0,0,0,0,0,1.789056,0
12.099423,7.604533,7.382515,24.126625,14.390834,12.607162,17.776815,16.606956,14.936533
4.485379,2.516962,3.380414,6.854812,7.839371,6.517805,8.91955,8.491037,11.182217
1.099182,0,7.433705,0,0.816547,1.165058,0,0,0.149259
4.57445,1.859036,1.10707,14.56383,1.614616,12.981122,7.820869,11.698714,9.1468
0,0,0,0,0,0,0,0,0
0.092858,0.081359,0.204913,0,0,0,0,0,0
1.536787,0.529813,0.717462,1.396941,1.818283,1.60154,0.88712,1.418934,1.166794
1.71526,6.925821,1.019257,1.559292,1.5207,2.41753,0.744714,0.814592,3.129597
0,0,0.992607,0,1.041838,0.13194,0.121607,0,0.121412
0,0.175504,0.417725,0.311945,0.06497,0.099249,0.15952,0.077873,0.120404
40.194145,53.56823,58.042368,51.356677,50.759575,52.741563,63.197098,62.790187,59.9281
5.947862,7.681984,6.557831,7.994996,7.774372,5.259265,6.369002,5.27814,5.237343
0.604257,0,0.299299,0,0,0,0,0,0
10.044683,18.246638,16.185889,6.83559,13.640335,15.057186,3.45738,4.889485,4.637212
0,0,0,0,0,0,0,0,0
0.197388,0,0,0,0,0.080033,0,0.076774,0
0,0,0,0,0,0.056283,0,0,0.026831
0,0,0,0.019847,0.269494,0,0,0.029969,0.162985
0,0,0,0.558974,1.90571,0.475369,0.23901,0,0
0,0,0,0.080054,0,0.051149,0.028884,0,0.009751
0.928644,0.325683,1.367482,0,0.036075,0,0,0,0
0,0,0,0,0,0,0,0,0
21.062336,31.048978,27.664281,0.482778,1.385666,0.149694,0.229486,1.994881,1.942416
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
13.147833,13.184582,0,1.306266,1.822713,1.362672,1.433598,0,0
18.990164,15.447371,19.258119,65.015089,12.933655,24.241835,20.433376,14.38149,14.729181
0,0,0.108008,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
26.524324,40.177688,35.877314,24.833525,24.153216,29.256718,18.094843,21.183481,19.59554
0.534242,2.579655,1.421834,3.853741,4.31643,4.99671,3.999161,4.150835,3.303658
1.702269,3.124659,3.936074,2.910452,5.111358,7.818627,2.33373,3.221675,3.779118
0,0,0,0,0.059268,0,0,0,0
0,0,0,0,0,1.703911,1.296734,0,1.635657
0,0,0,0,0,0,0,0,0
0.08404,0.02458,0,0,0.062765,0.174802,0,0,0.020811
