SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC243790.1,AC243790.1,protein_coding,0.523167001,2.51266264,3.99164217,0.629480934,0.529034247,NA
AC254560.1,AC254560.1,protein_coding,0,NA,NA,NA,NA,NA
AC254952.1,AC254952.1,protein_coding,0,NA,NA,NA,NA,NA
AC255093.2,AC255093.2,protein_coding,4.757952593,1.285623339,2.108229896,0.609811739,0.541986524,0.997447198
ACAA1,ACAA1,protein_coding,503.4741731,0.062013876,0.12204235,0.508134071,0.611359323,0.997447198
ACAA2,ACAA2,protein_coding,588.0651014,0.0116115,0.215972596,0.053763765,0.957123379,0.999779309
ACACA,ACACA,protein_coding,9340.011687,0.081139505,0.050417189,1.609361921,0.107537227,0.72799771
ACACB,ACACB,protein_coding,437.6639777,-0.132221411,0.172261472,-0.767562296,0.44274727,0.982921703
ACAD10,ACAD10,protein_coding,201.6956047,0.198251858,0.326258092,0.607653459,0.543417337,0.997447198
ACAD11,ACAD11,protein_coding,1226.057579,-0.005166539,0.141466387,-0.036521318,0.970866681,0.999779309
ACAD8,ACAD8,protein_coding,499.743231,0.139500887,0.175542753,0.794683258,0.426797773,0.977862081
ACAD9,ACAD9,protein_coding,1179.79499,0.217779233,0.113038771,1.926588835,0.054030891,0.584012439
ACADL,ACADL,protein_coding,1.610352858,4.141883163,3.597590517,1.151293663,0.249611443,NA
ACADM,ACADM,protein_coding,1155.522707,-0.161594184,0.12909119,-1.251783207,0.210648871,0.880432409
ACADS,ACADS,protein_coding,94.54405614,0.150344231,0.308221274,0.487780187,0.625705547,0.997447198
ACADSB,ACADSB,protein_coding,1101.767123,0.121422658,0.121843167,0.996548766,0.318983585,0.946154909
ACADVL,ACADVL,protein_coding,4425.806733,-0.038354678,0.050409009,-0.760869503,0.446735016,0.984770797
ACAN,ACAN,protein_coding,0.159327005,0.981144094,4.080472857,0.240448626,0.809982485,NA
ACAP1,ACAP1,protein_coding,0,NA,NA,NA,NA,NA
ACAP2,ACAP2,protein_coding,629.4375483,-0.118032496,0.124594369,-0.947334114,0.343468553,0.957162488
ACAP3,ACAP3,protein_coding,186.3656172,0.048276346,0.317733878,0.15193956,0.879234606,0.998563786
ACAT1,ACAT1,protein_coding,2924.381182,0.236753844,0.060285872,3.927186218,8.59E-05,0.009303191
ACAT2,ACAT2,protein_coding,2060.043363,0.112036431,0.100005997,1.120297125,0.262587167,0.915083177
ACBD3,ACBD3,protein_coding,670.191162,0.230234911,0.113833317,2.022561723,0.043118354,0.525917099
ACBD4,ACBD4,protein_coding,94.95258644,0.177721491,0.348191343,0.510413295,0.609761945,0.997447198
ACBD5,ACBD5,protein_coding,748.0956139,0.407377323,0.152857778,2.665074225,0.007697133,0.219130513
ACBD6,ACBD6,protein_coding,592.1225884,0.02143353,0.118987274,0.180132963,0.857048185,0.998359305
ACBD7,ACBD7,protein_coding,47.19011029,-0.141520396,0.423027784,-0.334541611,0.737970897,0.997447198
ACCS,ACCS,protein_coding,56.8850715,-0.085322376,0.591203355,-0.144319844,0.885247909,0.998673308
ACCSL,ACCSL,protein_coding,0,NA,NA,NA,NA,NA
ACD,ACD,protein_coding,181.6571439,0.192001552,0.309128421,0.621106113,0.534529808,0.997447198
ACE,ACE,protein_coding,0.906459992,-0.21000193,2.909870329,-0.072168827,0.942467553,NA
ACE2,ACE2,protein_coding,0,NA,NA,NA,NA,NA
